"","coef","Gene"
"CGLB_COMPETENCE PROTEIN",0.328774847624059,"CGLB_COMPETENCE PROTEIN"
"GROUP_2385_MEMBRANE PROTEIN",0.328176305718045,"GROUP_2385_MEMBRANE PROTEIN"
"GROUP_14939_VIRAL (SUPERFAMILY 1) RNA HELICASE",0.327893480616911,"GROUP_14939_VIRAL (SUPERFAMILY 1) RNA HELICASE"
"MRAW_S-ADENOSYL-METHYLTRANSFERASE MRAW",0.327533941238258,"MRAW_S-ADENOSYL-METHYLTRANSFERASE MRAW"
"GROUP_1383_CELL WALL SURFACE ANCHOR FAMILY PROTEIN",0.327275393790976,"GROUP_1383_CELL WALL SURFACE ANCHOR FAMILY PROTEIN"
"GROUP_10594_TN5252 RELAXASE",0.326462909220306,"GROUP_10594_TN5252 RELAXASE"
"GROUP_8998_SPERMIDINE/PUTRESCINE TRANSPORT ATP-BINDING PROTEIN",0.325893332759441,"GROUP_8998_SPERMIDINE/PUTRESCINE TRANSPORT ATP-BINDING PROTEIN"
"LANM_LANTHIONINE BIOSYNTHESIS PROTEIN LANM",0.325501502335058,"LANM_LANTHIONINE BIOSYNTHESIS PROTEIN LANM"
"GROUP_16207_PHAGE PROTEIN",0.324969804554381,"GROUP_16207_PHAGE PROTEIN"
"TETM_TETRACYCLINE RESISTANCE PROTEIN TETM",0.324934281686557,"TETM_TETRACYCLINE RESISTANCE PROTEIN TETM"
"GROUP_8766_PHOSPHOMETHYLPYRIMIDINE KINASE",0.324071930163123,"GROUP_8766_PHOSPHOMETHYLPYRIMIDINE KINASE"
"GROUP_8637_PERMEASE",0.322105332284773,"GROUP_8637_PERMEASE"
"GROUP_98_CHLOROHYDROLASE",0.320466210254624,"GROUP_98_CHLOROHYDROLASE"
"RPIR_TRANSCRIPTIONAL REGULATOR",0.31796908559149,"RPIR_TRANSCRIPTIONAL REGULATOR"
"GROUP_11174_TEICOPLANIN RESISTANCE PROTEIN",0.317156892847898,"GROUP_11174_TEICOPLANIN RESISTANCE PROTEIN"
"GROUP_12793_DIHYDRODIPICOLINATE REDUCTASE",0.313948242480509,"GROUP_12793_DIHYDRODIPICOLINATE REDUCTASE"
"SLAA_PHOSPHOLIPASE A2 SLAA",0.313348879757907,"SLAA_PHOSPHOLIPASE A2 SLAA"
"GROUP_2838_ALPHA-FUCOSIDASE",0.312830999407282,"GROUP_2838_ALPHA-FUCOSIDASE"
"LIGA_DNA LIGASE",0.31252719468606,"LIGA_DNA LIGASE"
"GROUP_2298_PTS SYSTEM TRANSPORTER SUBUNIT IIA",0.312266777329007,"GROUP_2298_PTS SYSTEM TRANSPORTER SUBUNIT IIA"
"GROUP_17591_PUTATIVE METAL-DEPENDENT MEMBRANE PROTEASE",0.311615747554456,"GROUP_17591_PUTATIVE METAL-DEPENDENT MEMBRANE PROTEASE"
"GROUP_5217_ALPHA/BETA HYDROLASE RELATED PROTEIN",0.311300281963317,"GROUP_5217_ALPHA/BETA HYDROLASE RELATED PROTEIN"
"GROUP_13591_V-TYPE ATP SYNTHASE SUBUNIT A",0.311202577389184,"GROUP_13591_V-TYPE ATP SYNTHASE SUBUNIT A"
"GROUP_11641_PNEUMOCOCCAL VACCINE ANTIGEN A",0.310170022708226,"GROUP_11641_PNEUMOCOCCAL VACCINE ANTIGEN A"
"GROUP_2998_MULTIDRUG ABC TRANSPORTER ATPASE",0.310043629615775,"GROUP_2998_MULTIDRUG ABC TRANSPORTER ATPASE"
"GROUP_15458_BACTERIOCIN",0.309660206871628,"GROUP_15458_BACTERIOCIN"
"GROUP_9947_LIPOPROTEIN PUTATIVE",0.308796261779353,"GROUP_9947_LIPOPROTEIN PUTATIVE"
"GROUP_4542_D-ALANYL CARRIER PROTEIN DCP",0.307607711518922,"GROUP_4542_D-ALANYL CARRIER PROTEIN DCP"
"GROUP_11740_MOBILE ELEMENT PROTEIN",0.305311049574234,"GROUP_11740_MOBILE ELEMENT PROTEIN"
"GROUP_2048_DIHYDROFOLATE SYNTHETASE",0.305114945622281,"GROUP_2048_DIHYDROFOLATE SYNTHETASE"
"GROUP_11580_U32 FAMILY PEPTIDASE",0.304651090357286,"GROUP_11580_U32 FAMILY PEPTIDASE"
"GROUP_11162_UDP-N-ACETYLMURAMOYLALANYL-D-GLUTAMATE--2 6-DIAMINOPIMELATE LIGASE",0.300251392297175,"GROUP_11162_UDP-N-ACETYLMURAMOYLALANYL-D-GLUTAMATE--2 6-DIAMINOPIMELATE LIGASE"
"GROUP_10319_PUTATIVE INTEGRAL MEMBRANE PROTEIN",0.300170875310432,"GROUP_10319_PUTATIVE INTEGRAL MEMBRANE PROTEIN"
"GROUP_820_REPAIR PROTEIN",0.300124385785768,"GROUP_820_REPAIR PROTEIN"
"GROUP_6087_TRANSLATION FACTOR",0.29893621726688,"GROUP_6087_TRANSLATION FACTOR"
"GROUP_8798_PTS SYSTEM MANNOSE-SPECIFIC TRANSPORTER SUBUNIT IIAB",0.298833993702053,"GROUP_8798_PTS SYSTEM MANNOSE-SPECIFIC TRANSPORTER SUBUNIT IIAB"
"GROUP_13993_CATABOLITE CONTROL PROTEIN",0.298068723766625,"GROUP_13993_CATABOLITE CONTROL PROTEIN"
"GROUP_17650_PUTATIVE SMALL SUBUNIT OF THE TERMINASE",0.297608439219813,"GROUP_17650_PUTATIVE SMALL SUBUNIT OF THE TERMINASE"
"GROUP_6901_MEMBRANE PROTEIN",0.296704196370216,"GROUP_6901_MEMBRANE PROTEIN"
"GROUP_12294_PHAGE TERMINASE LARGE SUBUNIT",0.296527895643194,"GROUP_12294_PHAGE TERMINASE LARGE SUBUNIT"
"GROUP_8578_TYPE II RESTRICTION ENDONUCLEASE",0.296209987363899,"GROUP_8578_TYPE II RESTRICTION ENDONUCLEASE"
"GROUP_8560_ABC TRANSPORTER PERIPLASMIC",0.295882580086344,"GROUP_8560_ABC TRANSPORTER PERIPLASMIC"
"GROUP_3165_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN",0.29542919265605,"GROUP_3165_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN"
"GROUP_5828_SODIUM-DEPENDENT PHOSPHATE TRANSPORTER",0.294809877959758,"GROUP_5828_SODIUM-DEPENDENT PHOSPHATE TRANSPORTER"
"GROUP_7474_GP18",0.294684730759443,"GROUP_7474_GP18"
"GROUP_8889_THIAMINE-PHOSPHATE PYROPHOSPHORYLASE",0.293824785191496,"GROUP_8889_THIAMINE-PHOSPHATE PYROPHOSPHORYLASE"
"GROUP_14773_CONSERVED STRUCTURAL PROTEIN PUTATIVE",0.291877368312865,"GROUP_14773_CONSERVED STRUCTURAL PROTEIN PUTATIVE"
"LAGD_COMPETENCE FACTOR TRANSPORTING ATP-BINDING PROTEIN/PERMEASE COMA",0.291323055541962,"LAGD_COMPETENCE FACTOR TRANSPORTING ATP-BINDING PROTEIN/PERMEASE COMA"
"GROUP_9178_DPS FAMILY PEROXIDE RESISTANCE PROTEIN",0.291071388967382,"GROUP_9178_DPS FAMILY PEROXIDE RESISTANCE PROTEIN"
"AQPZ2_AQUAPORIN Z-WATER CHANNEL PROTEIN",0.290668024899492,"AQPZ2_AQUAPORIN Z-WATER CHANNEL PROTEIN"
"GROUP_6271_ALPHA MANNOSIDASE",0.290397409637038,"GROUP_6271_ALPHA MANNOSIDASE"
"GROUP_13350_TRANSPORTER",0.289660257681704,"GROUP_13350_TRANSPORTER"
"GROUP_2516_SERINE/THREONINE PROTEIN KINASE",0.289373510191747,"GROUP_2516_SERINE/THREONINE PROTEIN KINASE"
"GROUP_3183_PUTTAIVE FTSX-FAMILY TRANSPORT PROTEIN",0.289017227885114,"GROUP_3183_PUTTAIVE FTSX-FAMILY TRANSPORT PROTEIN"
"MALR_MALTOSE OPERON TRANSCRIPTIONAL REPRESSOR",0.288828791316593,"MALR_MALTOSE OPERON TRANSCRIPTIONAL REPRESSOR"
"GROUP_3929_IRON ABC TRANSPORTER IRON-BINDING PROTEIN",0.288299236525822,"GROUP_3929_IRON ABC TRANSPORTER IRON-BINDING PROTEIN"
"GROUP_2971_SITE-SPECIFIC DNA RECOMBINASE",0.287997005658528,"GROUP_2971_SITE-SPECIFIC DNA RECOMBINASE"
"NHAK_NA+/H+ ANTIPORTER",0.287188997320586,"NHAK_NA+/H+ ANTIPORTER"
"YCJO_1_ABC TRANSPORTER PERMEASE SP1689",0.286125930805997,"YCJO_1_ABC TRANSPORTER PERMEASE SP1689"
"GATC_1_PTS SYSTEM GALACTITOL-SPECIFIC FAMILY TRANSPORTER SUBUNIT IIC",0.285713505328662,"GATC_1_PTS SYSTEM GALACTITOL-SPECIFIC FAMILY TRANSPORTER SUBUNIT IIC"
"GROUP_7460_AMINOPEPTIDASE",0.285619569832089,"GROUP_7460_AMINOPEPTIDASE"
"GROUP_12340_DNA TRANSLOCASE CELL DIVISION PROTEIN",0.285365696001407,"GROUP_12340_DNA TRANSLOCASE CELL DIVISION PROTEIN"
"GROUP_2531_LANTHIONINE SYNTHETASE C-LIKE PROTEIN",0.284519456471109,"GROUP_2531_LANTHIONINE SYNTHETASE C-LIKE PROTEIN"
"GROUP_3699_TYPE II DNA MODIFICATION METHYLTRANSFERASE",0.284330497531877,"GROUP_3699_TYPE II DNA MODIFICATION METHYLTRANSFERASE"
"YCJP_2_ABC TRANSPORTER PERMEASE SP1688",0.283108557278138,"YCJP_2_ABC TRANSPORTER PERMEASE SP1688"
"GROUP_18530_IMPB/MUCB/SAMB FAMILY PROTEIN",0.282550355412507,"GROUP_18530_IMPB/MUCB/SAMB FAMILY PROTEIN"
"GROUP_1871_SIGNAL RECOGNITION PARTICLE GTPASE",0.281156126202966,"GROUP_1871_SIGNAL RECOGNITION PARTICLE GTPASE"
"RELAXASE-TRUNCATION_TN5252 RELAXASE",0.281126524207857,"RELAXASE-TRUNCATION_TN5252 RELAXASE"
"GROUP_504_PBLB",0.280448103520406,"GROUP_504_PBLB"
"GROUP_9744_MEMBRANE PROTEIN",0.279798715310846,"GROUP_9744_MEMBRANE PROTEIN"
"GROUP_2304_METALLO-BETA-LACTAMASE SUPERFAMILY PROTEIN",0.279539397636631,"GROUP_2304_METALLO-BETA-LACTAMASE SUPERFAMILY PROTEIN"
"GROUP_8231_REGULATORY PROTEIN SINGLE DOMAIN RESPONSE REGULATOR",0.279370464180564,"GROUP_8231_REGULATORY PROTEIN SINGLE DOMAIN RESPONSE REGULATOR"
"GROUP_4685_ABC TRANSPORTER PERMEASE",0.27935011139856,"GROUP_4685_ABC TRANSPORTER PERMEASE"
"GROUP_5758_GLYCOSYLTRANSFERASE INVOLVED IN CELL WALL BIOGENESIS",0.27923908222983,"GROUP_5758_GLYCOSYLTRANSFERASE INVOLVED IN CELL WALL BIOGENESIS"
"GROUP_9027_HELICASE",0.279023458246209,"GROUP_9027_HELICASE"
"GROUP_17381_DNA-BINDING PHAGE PROTEIN",0.278846368559414,"GROUP_17381_DNA-BINDING PHAGE PROTEIN"
"GROUP_2526_SERINE/THREONINE PROTEIN KINASE",0.27825610269554,"GROUP_2526_SERINE/THREONINE PROTEIN KINASE"
"GROUP_8342_CYSTEINE SYNTHASE",0.277301568417015,"GROUP_8342_CYSTEINE SYNTHASE"
"GROUP_10835_MALY BIFUNCTIONAL PLP-DEPENDENT ENZYME",0.277110344169213,"GROUP_10835_MALY BIFUNCTIONAL PLP-DEPENDENT ENZYME"
"GROUP_6986_CARBOHYDRATE KINASE",0.276575012744926,"GROUP_6986_CARBOHYDRATE KINASE"
"GROUP_9695_PUTATIVE OTITIS MEDIA-ASSOCIATED P41",0.275482096441805,"GROUP_9695_PUTATIVE OTITIS MEDIA-ASSOCIATED P41"
"GROUP_8308_INTEGRASE",0.275270088443635,"GROUP_8308_INTEGRASE"
"GROUP_10190_COBALT TRANSPORT PROTEIN",0.27519992298247,"GROUP_10190_COBALT TRANSPORT PROTEIN"
"GROUP_12252_ABC TRANSPORTER PERMEASE",0.275068525877984,"GROUP_12252_ABC TRANSPORTER PERMEASE"
"YADH_ABC-2 TYPE TRANSPORTER",0.274898843356641,"YADH_ABC-2 TYPE TRANSPORTER"
"GROUP_2814_ENZYME OF POLY-GAMMA-GLUTAMATE BIOSYNTHESIS",0.274444957276729,"GROUP_2814_ENZYME OF POLY-GAMMA-GLUTAMATE BIOSYNTHESIS"
"GROUP_11586_INTEGRAL MEMBRANE PROTEIN",0.274252685969944,"GROUP_11586_INTEGRAL MEMBRANE PROTEIN"
"GROUP_2355_AQUAPORIN Z",0.273576175350177,"GROUP_2355_AQUAPORIN Z"
"FTSE_2_ANTIMICROBIAL PEPTIDE ABC TRANSPORTER ATPASE",0.273125474955499,"FTSE_2_ANTIMICROBIAL PEPTIDE ABC TRANSPORTER ATPASE"
"GROUP_456_FUSION OF IS1381 ORF A AND B",0.273010504296248,"GROUP_456_FUSION OF IS1381 ORF A AND B"
"GROUP_13207_PHOSPHOTRANSFERASE",0.272642386125497,"GROUP_13207_PHOSPHOTRANSFERASE"
"GROUP_3637_PUTATIVE SORTASE-SORTED SURFACE ANCHORED PROTEIN (PSEUDOGENE)",0.271727865060819,"GROUP_3637_PUTATIVE SORTASE-SORTED SURFACE ANCHORED PROTEIN (PSEUDOGENE)"
"GROUP_15929_PHOSPHOGLUCOMUTASE",0.271309360500273,"GROUP_15929_PHOSPHOGLUCOMUTASE"
"DHAM_2_SUGAR PHOSPHOTRANSFERASE SYSTEM (PTS) FRUCTOSE FAMILY IIA COMPONENT",0.270718625862563,"DHAM_2_SUGAR PHOSPHOTRANSFERASE SYSTEM (PTS) FRUCTOSE FAMILY IIA COMPONENT"
"SAU3AIR_RESTRICTION ENZYME",0.269908991188108,"SAU3AIR_RESTRICTION ENZYME"
"GROUP_9370_INTEGRAL MEMBRANE PROTEIN",0.269427570004714,"GROUP_9370_INTEGRAL MEMBRANE PROTEIN"
"LYTA_4_AUTOLYSIN",0.26937710382815,"LYTA_4_AUTOLYSIN"
"GROUP_3450_MEMBRANE PROTEIN",0.269275506094674,"GROUP_3450_MEMBRANE PROTEIN"
"POLC_3_EXONUCLEASE",0.269038590952571,"POLC_3_EXONUCLEASE"
"GROUP_13121_MFS TRANSPORTER",0.269022505228352,"GROUP_13121_MFS TRANSPORTER"
"GROUP_12970_PHAGE PROTEIN",0.268890817919843,"GROUP_12970_PHAGE PROTEIN"
"PINR_SITE-SPECIFIC DNA RECOMBINASE",0.268447459292697,"PINR_SITE-SPECIFIC DNA RECOMBINASE"
"GROUP_11665_TRANSCRIPTIONAL ACTIVATOR",0.268371523489484,"GROUP_11665_TRANSCRIPTIONAL ACTIVATOR"
"GROUP_12538_PEPTIDE ABC TRANSPORTER PERMEASE",0.268350735449745,"GROUP_12538_PEPTIDE ABC TRANSPORTER PERMEASE"
"GROUP_8577_MEMBRANE PROTEIN",0.268142330969978,"GROUP_8577_MEMBRANE PROTEIN"
"BGLH_BETA-GLUCOSIDASE",0.267985635769456,"BGLH_BETA-GLUCOSIDASE"
"GROUP_6740_HAD SUPERFAMILY HYDROLASE",0.267840479425617,"GROUP_6740_HAD SUPERFAMILY HYDROLASE"
"NDOR_OXIDOREDUCTASE",0.267644606029834,"NDOR_OXIDOREDUCTASE"
"GROUP_7345_ARYLSULFATASE",0.267143289325741,"GROUP_7345_ARYLSULFATASE"
"GROUP_9170_CI-LIKE REPRESSOR PHAGE ASSOCIATED",0.267038568421533,"GROUP_9170_CI-LIKE REPRESSOR PHAGE ASSOCIATED"
"GROUP_15154_PTS SYSTEM MANNOSE/FRUCTOSE/SORBOSE FAMILY TRANSPORTER SUBUNIT IID",0.266831753542802,"GROUP_15154_PTS SYSTEM MANNOSE/FRUCTOSE/SORBOSE FAMILY TRANSPORTER SUBUNIT IID"
"GROUP_16668_PUTATIVE TRANSCRIPTIONAL REPRESSOR",0.265348580006501,"GROUP_16668_PUTATIVE TRANSCRIPTIONAL REPRESSOR"
"GROUP_16144_ASPARTYL-TRNA SYNTHETASE (ASPARTATE-TRNA LIGASE)",0.265209014588533,"GROUP_16144_ASPARTYL-TRNA SYNTHETASE (ASPARTATE-TRNA LIGASE)"
"GROUP_9327_GTP PYROPHOSPHOKINASE STRINGENT RESPONSE PROTEIN",0.264646102319775,"GROUP_9327_GTP PYROPHOSPHOKINASE STRINGENT RESPONSE PROTEIN"
"GROUP_2053_SODIUM-DEPENDENT TRANSPORTER",0.263985549980485,"GROUP_2053_SODIUM-DEPENDENT TRANSPORTER"
"GROUP_18272_DNA-BINDING PHAGE PROTEIN",0.263717849862141,"GROUP_18272_DNA-BINDING PHAGE PROTEIN"
"GROUP_11803_LMO0466 PROTEIN",0.262965144279899,"GROUP_11803_LMO0466 PROTEIN"
"GROUP_3054_PHAGE PROTEIN",0.260897204386748,"GROUP_3054_PHAGE PROTEIN"
"GROUP_7390_MALTODEXTRIN ABC TRANSPORTER PERMEASE",0.260220644727737,"GROUP_7390_MALTODEXTRIN ABC TRANSPORTER PERMEASE"
"GROUP_7107_ABC TRANSPORTER ATP-BINDING PROTEIN",0.260207516113464,"GROUP_7107_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_5034_TRANSCRIPTIONAL ACTIVATOR RGG/GADR/MUTR FAMILY PROTEIN",0.260145360551179,"GROUP_5034_TRANSCRIPTIONAL ACTIVATOR RGG/GADR/MUTR FAMILY PROTEIN"
"GROUP_11601_NIF3 (NGG1P INTERACTING FACTOR 3) FAMILY PROTEIN",0.258315982716483,"GROUP_11601_NIF3 (NGG1P INTERACTING FACTOR 3) FAMILY PROTEIN"
"GROUP_15004_LANTIBIOTIC EFFLUX PROTEIN",0.258256606242489,"GROUP_15004_LANTIBIOTIC EFFLUX PROTEIN"
"GROUP_13538_ANTIRESTRICTION PROTEIN",0.257911521854318,"GROUP_13538_ANTIRESTRICTION PROTEIN"
"GROUP_2983_PUTATIVE FE-S OXIDOREDUCTASE",0.256327791599856,"GROUP_2983_PUTATIVE FE-S OXIDOREDUCTASE"
"GROUP_6435_TN916 ORF15 SIGNAL PEPTIDE CONTAINING PROTEIN",0.256287881360482,"GROUP_6435_TN916 ORF15 SIGNAL PEPTIDE CONTAINING PROTEIN"
"GROUP_9367_INTEGRAL MEMBRANE PROTEIN",0.256251792194795,"GROUP_9367_INTEGRAL MEMBRANE PROTEIN"
"GROUP_13319_TYPE I RESTRICTION ENZYME RELATED PROTEIN",0.255768787559447,"GROUP_13319_TYPE I RESTRICTION ENZYME RELATED PROTEIN"
"GROUP_6113_ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE",0.255427878995826,"GROUP_6113_ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE"
"RLMN_RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE N",0.254902949528195,"RLMN_RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE N"
"GROUP_2563_CHOLINE BINDING PROTEIN E CBPE",0.25459776788099,"GROUP_2563_CHOLINE BINDING PROTEIN E CBPE"
"GROUP_18532_TYPE I SECRETION SYSTEM ATPASE",0.254522600158429,"GROUP_18532_TYPE I SECRETION SYSTEM ATPASE"
"YKOC_COBALT TRANSPORT PROTEIN",0.254198785270755,"YKOC_COBALT TRANSPORT PROTEIN"
"GROUP_851_GLYCOSYL HYDROLASE",0.253774118217626,"GROUP_851_GLYCOSYL HYDROLASE"
"ZMPD_ZINC METALLOPROTEASE ZMPD",0.253118375001074,"ZMPD_ZINC METALLOPROTEASE ZMPD"
"GROUP_8112_PUTATIVE S-TRANSFERASE",0.253087427082659,"GROUP_8112_PUTATIVE S-TRANSFERASE"
"GROUP_2775_PREPROTEIN TRANSLOCASE SUBUNIT SECB",0.252865034539811,"GROUP_2775_PREPROTEIN TRANSLOCASE SUBUNIT SECB"
"GROUP_4163_NA+ ABC TRANSPORTER ATP-BINDING PROTEIN",0.252683795420894,"GROUP_4163_NA+ ABC TRANSPORTER ATP-BINDING PROTEIN"
"CBPG_1_CHOLINE BINDING PROTEIN G",0.251926545615668,"CBPG_1_CHOLINE BINDING PROTEIN G"
"GROUP_4019_BRANCHED-CHAIN AMINO ACID PERMEASE",0.250401656277517,"GROUP_4019_BRANCHED-CHAIN AMINO ACID PERMEASE"
"GROUP_4038_ABC TRANSPORTER ATPASE",0.249969479534055,"GROUP_4038_ABC TRANSPORTER ATPASE"
"GROUP_11443_ABC TRANSPORTER PERMEASE",0.249896509494213,"GROUP_11443_ABC TRANSPORTER PERMEASE"
"GROUP_9673_PHAGE PROTEIN",0.248869992205463,"GROUP_9673_PHAGE PROTEIN"
"HTPX_HEAT SHOCK PROTEIN HTPX",0.248371584848225,"HTPX_HEAT SHOCK PROTEIN HTPX"
"GROUP_14404_AMINO ACID ABC TRANSPORTER PERMEASE",0.247504051889498,"GROUP_14404_AMINO ACID ABC TRANSPORTER PERMEASE"
"GROUP_4388_INTEGRASE",0.247360550104229,"GROUP_4388_INTEGRASE"
"GROUP_13045_PHOSPHOENOLPYRUVATE-PROTEIN PHOSPHOTRANSFERASE OF PTS SYSTEM",0.246962476371802,"GROUP_13045_PHOSPHOENOLPYRUVATE-PROTEIN PHOSPHOTRANSFERASE OF PTS SYSTEM"
"GROUP_5459_ZINC-CONTAINING ALCOHOL DEHYDROGENASE",0.246577572272602,"GROUP_5459_ZINC-CONTAINING ALCOHOL DEHYDROGENASE"
"GROUP_4953_ZINC METALLOPEPTIDASE",0.246555372200559,"GROUP_4953_ZINC METALLOPEPTIDASE"
"GROUP_14705_ABC TRANSPORTER PERMEAE",0.24598804254819,"GROUP_14705_ABC TRANSPORTER PERMEAE"
"GROUP_9782_DIHYDROLIPOAMIDE DEHYDROGENASE",0.245530998187449,"GROUP_9782_DIHYDROLIPOAMIDE DEHYDROGENASE"
"GROUP_14341_ABC TRANSPORTER ATP-BINDING PROTEIN",0.245520692476133,"GROUP_14341_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_13453_FLAVOPROTEIN INVOLVED IN PANTHOTHENATE METABOLISM",0.244990473223985,"GROUP_13453_FLAVOPROTEIN INVOLVED IN PANTHOTHENATE METABOLISM"
"BTR_ARAC FAMILY TRANSCRIPTIONAL REGULATOR",0.244222030046933,"BTR_ARAC FAMILY TRANSCRIPTIONAL REGULATOR"
"GROUP_11155_DNA REPAIR PROTEIN",0.243688637368407,"GROUP_11155_DNA REPAIR PROTEIN"
"GROUP_15564_PHAGE PROTEIN",0.243152884032928,"GROUP_15564_PHAGE PROTEIN"
"GROUP_7722_CAAX AMINO PROTEASE FAMILY PROTEIN",0.242486575212477,"GROUP_7722_CAAX AMINO PROTEASE FAMILY PROTEIN"
"GROUP_13589_V-TYPE H+-ATPASE SUBUNIT C",0.242052456880264,"GROUP_13589_V-TYPE H+-ATPASE SUBUNIT C"
"MTLD_MANNITOL-1-PHOSPHATE 5-DEHYDROGENASE",0.240018342238215,"MTLD_MANNITOL-1-PHOSPHATE 5-DEHYDROGENASE"
"GROUP_8160_GTFB",0.239613695892471,"GROUP_8160_GTFB"
"GROUP_1798_COMPETENCE FACTOR TRANSPORTING ATP-BINDING PROTEIN/PERMEASE COMA",0.239497553639292,"GROUP_1798_COMPETENCE FACTOR TRANSPORTING ATP-BINDING PROTEIN/PERMEASE COMA"
"GROUP_3046_PHAGE PROTEIN",0.238335326582044,"GROUP_3046_PHAGE PROTEIN"
"GROUP_13455_CARDIOLIPIN SYNTHASE",0.238044249727187,"GROUP_13455_CARDIOLIPIN SYNTHASE"
"GROUP_3421_CONSERVED PROTEIN/DOMAIN TYPICALLY ASSOCIATED WITH FLAVOPROTEIN OXYGENASE DIM6/NTAB FAMILY",0.237167972969709,"GROUP_3421_CONSERVED PROTEIN/DOMAIN TYPICALLY ASSOCIATED WITH FLAVOPROTEIN OXYGENASE DIM6/NTAB FAMILY"
"GROUP_14874_ALWI RESTRICTION ENDONUCLEASE FAMILY PROTEIN",0.237101651064961,"GROUP_14874_ALWI RESTRICTION ENDONUCLEASE FAMILY PROTEIN"
"GROUP_3893_DNA-BINDING PROTEIN",0.236716928813668,"GROUP_3893_DNA-BINDING PROTEIN"
"PNUC_TRANSPORTER",0.236583362371482,"PNUC_TRANSPORTER"
"GROUP_10123_PHAGE PROTEIN",0.236574308523177,"GROUP_10123_PHAGE PROTEIN"
"GROUP_13014_LACI FAMILY SUGAR-BINDING TRANSCRIPTIONAL REGULATOR",0.23596758457749,"GROUP_13014_LACI FAMILY SUGAR-BINDING TRANSCRIPTIONAL REGULATOR"
"GROUP_4615_MEMBRANE PROTEIN",0.234683627184549,"GROUP_4615_MEMBRANE PROTEIN"
"GROUP_8363_METHYLTRANSFERASE",0.234334593314967,"GROUP_8363_METHYLTRANSFERASE"
"GROUP_16609_PHAGE PROTEIN",0.234170653170981,"GROUP_16609_PHAGE PROTEIN"
"GROUP_8793_ATP-DEPENDENT ZN PROTEASE",0.23412657502049,"GROUP_8793_ATP-DEPENDENT ZN PROTEASE"
"GROUP_10513_PROPHAGE PROTEIN",0.233061750228433,"GROUP_10513_PROPHAGE PROTEIN"
"GROUP_12897_MHP",0.23305481377853,"GROUP_12897_MHP"
"GROUP_2493_3-ISOPROPYLMALATE DEHYDROGENASE",0.2329121242013,"GROUP_2493_3-ISOPROPYLMALATE DEHYDROGENASE"
"GROUP_11187_PHAGE PROTEIN",0.232532062057738,"GROUP_11187_PHAGE PROTEIN"
"GROUP_7224_INTEGRASE/RECOMBINASE PHAGE INTEGRASE FAMILY",0.232388846652653,"GROUP_7224_INTEGRASE/RECOMBINASE PHAGE INTEGRASE FAMILY"
"GROUP_14689_CHROMOSOME REPLICATION INITIATION PROTEIN/MEMBRANE ATTACHMENT PROTEIN",0.23225093913895,"GROUP_14689_CHROMOSOME REPLICATION INITIATION PROTEIN/MEMBRANE ATTACHMENT PROTEIN"
"TENA_2_TRANSCRIPTIONAL REGULATOR TENA/THI-4 FAMILY PROTEIN",0.231020460763792,"TENA_2_TRANSCRIPTIONAL REGULATOR TENA/THI-4 FAMILY PROTEIN"
"GROUP_4491_ALPHA-GLYCEROPHOSPHATE OXIDASE",0.230632850029442,"GROUP_4491_ALPHA-GLYCEROPHOSPHATE OXIDASE"
"FABG2_CHLOROHYDROLASE/DEAMINASE FAMILY PROTEIN",0.230142509961604,"FABG2_CHLOROHYDROLASE/DEAMINASE FAMILY PROTEIN"
"PHPA_STREPTOCOCCAL HISTIDINE TRIAD PROTEIN PHPA",0.229603278321421,"PHPA_STREPTOCOCCAL HISTIDINE TRIAD PROTEIN PHPA"
"GROUP_14365_L-LACTATE DEHYDROGENASE 1",0.229241538258856,"GROUP_14365_L-LACTATE DEHYDROGENASE 1"
"GROUP_16685_CYTIDINE DEAMINASE",0.228367318700788,"GROUP_16685_CYTIDINE DEAMINASE"
"GROUP_669_GLYCYL-TRNA SYNTHETASE SUBUNIT ALPHA",0.228264434334169,"GROUP_669_GLYCYL-TRNA SYNTHETASE SUBUNIT ALPHA"
"RLUA3_23S_RRNA PSEUDOURIDINE SYNTHASE",0.22730732495961,"RLUA3_23S_RRNA PSEUDOURIDINE SYNTHASE"
"GROUP_4762_PROTEIN-(GLUTAMINE-N5) METHYLTRANSFERASE RELEASE FACTOR-SPECIFIC",0.227135352076735,"GROUP_4762_PROTEIN-(GLUTAMINE-N5) METHYLTRANSFERASE RELEASE FACTOR-SPECIFIC"
"GROUP_199_CHOLINE BINDING PROTEIN A",0.227030819222609,"GROUP_199_CHOLINE BINDING PROTEIN A"
"YYCG_SIGNAL TRANSDUCTION HISTIDINE KINASE",0.226991750718218,"YYCG_SIGNAL TRANSDUCTION HISTIDINE KINASE"
"GROUP_3060_PUTATIVE HOLIN 1",0.225658026468056,"GROUP_3060_PUTATIVE HOLIN 1"
